결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"275,000","245,691","47,805","3,888","5,720","322,826","12.66","6,914","94.40","8.13"
20년12월(4Q),"238,000","243,962","48,404","3,270","3,668","320,358","12.77","4,727","96.37","6.76"
20년09월(3Q),"238,000","243,230","47,308","3,615","3,957","317,165","17.56","4,792","91.83","7.64"
20년06월(2Q),"211,000","240,167","46,028","3,595","4,322","312,012","17.35","5,291","91.35","7.81"
20년03월(1Q),"177,000","225,495","44,506","3,013","3,060","302,062","17.47","3,821","96.55","6.77"
19년12월(4Q),"238,000","228,169","44,076","1,607","-464","305,245","21.62","-350","98.11","3.65"
19년09월(3Q),"241,500","226,566","45,612","3,021","2,744","306,247","13.91","3,398","94.13","6.62"
19년06월(2Q),"259,000","224,298","44,370","3,228","2,591","303,516","9.69","3,262","89.88","7.28"
19년03월(1Q),"251,500","221,191","43,349","3,226","3,736","299,967","7.22","4,696","95.97","7.44"
18년12월(4Q),"269,500","223,493","43,517","2,253","4,745","302,806","6.96","6,005","89.58","5.18"
18년09월(3Q),"282,000","221,708","41,864","3,041","10,498","299,126","7.04","12,773","72.24","7.26"
18년06월(2Q),"233,000","209,087","41,543","3,469","9,143","284,419","6.28","11,352","73.79","8.35"
18년03월(1Q),"233,500","199,878","41,815","3,255","6,934","273,100","6.97","8,607","80.78","7.78"
17년12월(4Q),"267,000","180,292","44,973","3,104","6,606","248,964","8.29","7,307","85.41","6.90"
17년09월(3Q),"255,000","174,761","44,427","3,924","7,930","242,738","8.24","9,856","82.67","8.83"
17년06월(2Q),"266,000","166,752","43,456","4,233","6,205","233,252","10.59","7,739","84.57","9.74"
17년03월(1Q),"252,000","159,125","42,344","4,105","5,835","223,767","12.02","7,296","91.79","9.69"
16년12월(4Q),"224,000","161,164","43,523","3,020","4,747","225,796","10.79","6,055","94.20","6.94"
16년09월(3Q),"226,000","155,442","42,438","4,243","3,221","218,440","12.30","4,026","90.14","10.00"
16년06월(2Q),"215,500","153,675","42,673","4,074","2,910","216,467","11.30","3,593","85.65","9.55"
16년03월(1Q),"208,500","151,152","42,285","4,021","5,723","213,776","10.23","7,082","88.49","9.51"
15년12월(4Q),"215,500","153,741","43,793","4,019","2,935","216,875","11.46","3,666","85.91","9.18"
15년09월(3Q),"263,000","156,338","42,614","4,906","3,818","213,931","12.32","4,734","82.67","11.51"
15년06월(2Q),"250,000","153,176","42,557","4,129","3,979","210,017","10.78","4,902","83.07","9.70"
15년03월(1Q),"272,500","150,772","42,403","4,026","4,427","204,163","11.14","5,505","84.55","9.50"
14년12월(4Q),"268,000","152,483","42,890","4,901","5,034","206,159","12.01","6,208","83.24","11.43"
14년09월(3Q),"290,000","147,441","43,675","5,366","5,310","200,189","14.51","6,583","87.77","12.29"
14년06월(2Q),"236,500","142,032","43,054","5,461","4,976","193,615","12.04","6,174","90.29","12.68"
14년03월(1Q),"215,500","138,250","42,019","2,524","2,673","188,904","11.19","3,342","88.55","6.01"
13년12월(4Q),"230,000","141,666","42,948","5,097","2,937","193,101","11.33","3,890","87.60","11.87"
13년09월(3Q),"218,500","137,830","41,246","5,514","5,022","189,066","9.55","6,242","88.16","13.37"
13년06월(2Q),"210,000","133,765","41,170","5,454","4,677","183,605","11.14","5,779","90.16","13.25"
13년03월(1Q),"180,500","123,677","40,657","4,045","3,459","173,329","12.15","4,386","105.45","9.95"
12년12월(4Q),"152,500","128,548","40,795","5,225","5,191","176,669","10.69","6,477","99.11","12.81"
12년09월(3Q),"147,000","125,589","40,844","2,927","1,756","172,777","14.05","2,215","107.49","7.17"
12년06월(2Q),"125,000","125,006","40,079","4,156","1,206","171,926","9.59","1,776","106.18","10.37"
12년03월(1Q),"139,500","123,920","39,697","4,993","3,004","170,327","8.18","3,795","114.23","12.58"
11년12월(4Q),"141,500","127,327","39,536","4,005","1,955","174,280","7.08","2,680","91.37","10.13"
11년09월(3Q),"149,500","125,739","40,461","5,576","3,839","172,155","6.30","4,782","84.06","13.78"
11년06월(2Q),"161,500","126,051","40,258","6,962","4,654","170,205","6.46","5,793","79.39","17.29"
11년03월(1Q),"163,500","122,870","39,010","6,413","5,373","166,196","6.57","6,719","86.68","16.44"
10년12월(4Q),"173,500","124,080","39,688","6,689","5,025","167,593","7.61","6,432","86.43","16.85"
10년09월(3Q),"171,500","","39,789","6,900","4,722","","","6,056","","17.34"
10년06월(2Q),"160,500","","38,220","6,981","4,489","","","5,668","","18.26"
10년03월(1Q),"173,500","","37,489","5,145","3,433","","","4,651","","13.72"
09년12월(4Q),"169,500","112,415","31,001","4,431","2,442","163,891","10.62","3,025","71.66","14.29"
09년09월(3Q),"182,500","106,961","30,567","6,188","4,157","157,138","11.29","5,148","82.97","20.24"
09년06월(2Q),"174,000","109,324","30,679","5,534","3,116","160,064","11.50","3,860","78.24","18.04"
09년03월(1Q),"192,000","101,369","28,765","5,640","3,167","150,212","12.85","3,921","89.73","19.61"
08년12월(4Q),"209,000","107,290","30,068","4,688","2,631","157,458","13.28","3,241","73.52","15.59"
08년09월(3Q),"205,500","107,263","28,996","5,041","3,336","156,642","15.44","4,109","71.77","17.39"
08년06월(2Q),"190,500","109,082","29,313","5,330","2,980","158,883","10.15","3,670","64.73","18.18"
08년03월(1Q),"186,500","107,737","28,370","5,540","3,829","157,226","9.30","4,716","79.54","19.53"
07년12월(4Q),"249,000","114,375","29,160","3,107","660","166,010","12.31","813","58.63","10.66"
07년09월(3Q),"210,000","110,185","28,156","5,366","7,768","160,522","9.19","9,567","57.74","19.06"
07년06월(2Q),"213,000","101,415","28,426","6,622","4,033","149,721","11.29","4,967","63.10","23.30"
07년03월(1Q),"191,500","94,050","27,117","6,620","3,963","140,651","10.39","4,881","68.31","24.41"
06년12월(4Q),"222,500","93,064","27,598","5,391","2,793","139,436","12.60","3,440","69.93","19.53"
06년09월(3Q),"201,500","86,844","27,125","7,581","4,568","131,883","10.26","5,569","72.77","27.95"
06년06월(2Q),"204,000","84,708","26,383","6,193","3,733","127,551","9.61","4,538","77.00","23.47"
06년03월(1Q),"192,500","81,203","25,403","6,679","3,372","123,576","8.61","4,098","77.16","26.29"
05년12월(4Q),"181,000","82,579","26,266","6,548","4,480","125,248","7.96","5,445","75.85","24.93"
05년09월(3Q),"202,500","78,861","25,955","6,709","5,879","120,730","9.41","7,145","79.68","25.85"
05년06월(2Q),"182,000","72,492","25,272","7,134","4,671","112,988","9.48","5,677","90.45","28.23"
05년03월(1Q),"171,000","68,263","24,119","6,145","3,684","107,848","9.97","4,478","107.36","25.48"
04년12월(4Q),"197,000","71,271","24,848","5,944","3,481","111,504","10.84","4,231","96.72","23.92"
04년09월(3Q),"175,500","67,488","24,343","6,113","3,955","106,906","9.14","4,807","105.76","25.11"
04년06월(2Q),"190,000","63,426","23,840","4,627","2,987","101,969","9.26","3,631","112.68","19.41"
04년03월(1Q),"214,500","60,360","24,006","6,912","4,525","98,243","9.17","5,500","122.24","28.79"
03년12월(4Q),"199,000","59,418","24,804","6,928","4,332","97,098","8.59","5,266","125.11","27.93"
03년09월(3Q),"184,000","55,297","24,102","8,201","5,103","92,089","9.42","6,099","143.47","34.03"
03년06월(2Q),"204,000","55,164","23,869","8,168","5,506","89,414","11.05","6,495","135.53","34.22"
03년03월(1Q),"153,000","49,378","22,427","7,509","4,487","82,471","8.89","5,282","165.39","33.48"
02년12월(4Q),"229,000","55,369","23,656","5,930","1,626","86,698","13.51","1,824","129.75","25.07"
02년09월(3Q),"237,000","63,979","22,236","7,222","4,440","85,144","13.49","4,980","108.91","32.48"
02년06월(2Q),"269,500","57,946","21,125","7,054","4,610","78,378","17.01","5,171","124.08","33.39"
02년03월(1Q),"290,000","55,500","19,322","6,631","4,436","75,633","21.83","4,976","105.52","34.32"
01년12월(4Q),"268,000","56,823","17,100","4,720","2,174","79,730","20.95","2,438","87.04","27.60"
01년09월(3Q),"208,000","60,921","16,014","6,683","2,907","77,247","15.58","3,261","63.49","41.73"
01년06월(2Q),"191,500","58,374","14,940","4,393","2,326","74,391","14.08","2,609","55.42","29.41"
